amenity_type,lat,lon
bus_stop,52.3220255,4.7748573
bus_stop,52.3292612,4.8025532
bus_stop,52.3193345,4.9482522
bus_stop,52.3511629,4.8495714
bus_stop,52.3350339,4.9417884
bus_stop,52.3353122,4.9419365
bus_stop,52.3460233,4.8162884
bus_stop,52.3458103,4.815886
bus_stop,52.3505651,4.8105122
bus_stop,52.3475201,4.8053718
bus_stop,52.3469581,4.8053102
bus_stop,52.3537183,4.8075959
bus_stop,52.3593589,4.8077813
bus_stop,52.3926218,4.9269245
bus_stop,52.3904455,4.9456813
bus_stop,52.3941606,4.9345553
bus_stop,52.392691,4.9395228
bus_stop,52.3734195,4.9064773
bus_stop,52.3950048,4.9446154
bus_stop,52.3941478,4.9480037
bus_stop,52.387722,4.9231737
bus_stop,52.3907852,4.945874
bus_stop,52.3723269,4.9094836
bus_stop,52.3925736,4.9403953
bus_stop,52.3899562,4.9488121
bus_stop,52.3936136,4.949413
bus_stop,52.4034035,4.9413908
bus_stop,52.3981458,4.9322578
bus_stop,52.403129,4.9424457
bus_stop,52.4013769,4.9442707
bus_stop,52.4023409,4.9376046
bus_stop,52.4081644,4.9230739
bus_stop,52.4086637,4.9241196
bus_stop,52.4082598,4.8987878
bus_stop,52.3991742,4.907681
bus_stop,52.4082474,4.8996049
bus_stop,52.4033004,4.8977648
bus_stop,52.4087966,4.8954501
bus_stop,52.4036433,4.9159799
bus_stop,52.3407407,4.8964871
bus_stop,52.3400983,4.8252164
bus_stop,52.3993263,4.9074916
bus_stop,52.3409095,4.9019399
bus_stop,52.3404398,4.8984382
bus_stop,52.3388591,4.9396789
bus_stop,52.3399499,4.9383064
bus_stop,52.3474338,4.9397468
bus_stop,52.3454621,4.9362362
bus_stop,52.324767,4.9424088
bus_stop,52.324906,4.94245
bus_stop,52.322754,4.9453036
bus_stop,52.3231487,4.9446131
bus_stop,52.3280187,4.9394149
bus_stop,52.3279697,4.939281
bus_stop,52.322916,4.9362368
bus_stop,52.3229636,4.9359667
bus_stop,52.3241404,4.9313492
bus_stop,52.324283,4.9311466
bus_stop,52.3485663,4.8161595
bus_stop,52.3481501,4.8158564
bus_stop,52.3713304,4.9383586
bus_stop,52.3654364,4.9394503
bus_stop,52.3712232,4.9392477
bus_stop,52.3655297,4.9395843
bus_stop,52.3615445,4.9392705
bus_stop,52.3592206,4.8217311
bus_stop,52.3590519,4.8218117
bus_stop,52.3536236,4.8081286
bus_stop,52.3543221,4.811593
bus_stop,52.3545407,4.8117292
bus_stop,52.3308243,4.8793221
bus_stop,52.3240883,4.8688177
bus_stop,52.3629079,4.8036438
bus_stop,52.3189741,4.9490388
bus_stop,52.360442,4.7914956
bus_stop,52.3599457,4.7897669
bus_stop,52.3848961,4.883403
bus_stop,52.3616216,4.9241919
bus_stop,52.3586326,4.8080114
bus_stop,52.3583449,4.8003057
bus_stop,52.3582122,4.8007643
bus_stop,52.3450218,4.8073179
bus_stop,52.3448649,4.8073126
bus_stop,52.3444766,4.8113009
bus_stop,52.3418672,4.8933267
bus_stop,52.358207,4.8522597
bus_stop,52.3777943,4.8449423
bus_stop,52.3870793,4.8389123
bus_stop,52.3874015,4.8388711
bus_stop,52.3874962,4.8388597
bus_stop,52.3877297,4.8388289
bus_stop,52.3428833,4.9478548
bus_stop,52.3684415,4.9396257
bus_stop,52.3676784,4.9393226
bus_stop,52.3710067,4.9133407
bus_stop,52.3707443,4.9133522
bus_stop,52.323636,4.8611539
bus_stop,52.3307121,4.9460723
bus_stop,52.3670831,4.8722954
bus_stop,52.3566841,4.8343944
bus_stop,52.3566929,4.8346528
bus_stop,52.3566908,4.8345309
bus_stop,52.3708114,4.9386715
bus_stop,52.3908462,4.8838792
bus_stop,52.3911177,4.8844595
bus_stop,52.3923532,4.8771078
bus_stop,52.3921309,4.8777253
bus_stop,52.3923727,4.8620217
bus_stop,52.3926426,4.8604028
bus_stop,52.3919529,4.8567618
bus_stop,52.3921807,4.8543332
bus_stop,52.3890504,4.8915378
bus_stop,52.3893992,4.8916364
bus_stop,52.3850905,4.8930982
bus_stop,52.3727832,4.918366
bus_stop,52.3722543,4.9179671
bus_stop,52.3765444,4.9219545
bus_stop,52.3766023,4.9217113
bus_stop,52.379789,4.9236598
bus_stop,52.3794855,4.9231289
bus_stop,52.3790067,4.9296553
bus_stop,52.3786835,4.9312827
bus_stop,52.3732993,4.9386452
bus_stop,52.3722344,4.9467419
bus_stop,52.3679188,4.9244207
bus_stop,52.3641043,4.9396124
bus_stop,52.3640248,4.9394468
bus_stop,52.3770362,4.9427762
bus_stop,52.377143,4.9424087
bus_stop,52.3771098,4.9460234
bus_stop,52.3855359,4.8752343
bus_stop,52.3735854,4.9388387
